Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,394.3536,98.5884,162.0867,85.60999,104.2224
3,6,1106.244,184.374,305.0867,105.0549,128.6826
4,9,2289.061,254.3401,449.0863,117.0251,146.3823
5,13,3959.758,304.5968,591.0868,122.4418,160.4213
6,16,6064.076,379.0048,732.0864,132.3327,172.2792
7,19,8632.915,454.364,873.0859,141.0366,182.6968
8,23,11633.95,505.8238,1011.085,144.6483,191.8557
9,25,14341.75,573.67,1154.085,151.3423,200.5049
10,28,18154.67,648.3809,1294.085,158.1301,208.305
11,31,22391.57,722.3088,1437.085,163.3194,215.7112
12,33,26717.34,809.6163,1579.084,169.8909,222.5944
13,36,31506.04,875.1679,1715.085,174.3387,228.8096
14,40,36936.33,923.4083,1855.083,176.275,234.8731
15,43,42888.3,997.4023,1997.084,181.3649,240.719
16,45,47724.68,1060.548,2138.084,185.3158,246.2554
17,49,54509.04,1112.429,2280.084,187.3344,251.59
18,51,60961.75,1195.328,2421.085,192.262,256.6725
19,54,67990.85,1259.09,2553.084,195.803,261.2556
20,58,75995.26,1310.263,2694.084,197.627,265.9798
21,59,82038.3,1390.48,2832.083,201.8778,270.4464
22,58,88899.45,1532.749,2972.091,211.5272,274.832
23,58,91731.97,1581.586,3113.091,213.3669,279.1116
24,59,99195.17,1681.274,3253.091,217.7754,283.2349
25,59,107573.2,1823.274,3395.092,226.0112,287.2978
26,56,109664.4,1958.293,3534.09,232.7858,291.1666
27,54,117310.4,2172.416,5410.77,241.046,336.6215
28,54,124924.5,2313.416,5551.77,247.1123,339.5213
29,53,131274.4,2476.875,5691.77,253.6932,342.3518
30,53,138535.4,2613.876,5828.766,258.8963,345.0765
31,51,142702.3,2798.084,5969.764,265.4988,347.8375
