Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,394.0289,98.50723,163.0765,85.561,104.4519
3,7,1242.116,177.4451,306.0764,104.1682,128.8436
4,10,2561.125,256.1125,449.0766,117.7204,146.4063
5,14,4387.212,313.3723,592.0768,124.032,160.5384
6,16,6013.07,375.8169,732.077,131.9799,172.308
7,18,8189.074,454.9486,871.0774,140.7912,182.5879
8,22,11136.03,506.183,1013.077,144.4957,192.0144
9,25,14484.22,579.3688,1153.076,151.736,200.4806
10,27,18119.93,671.1085,1295.077,160.1974,208.3936
11,31,22347.98,720.9026,1437.076,162.553,215.7475
12,34,27022.96,794.793,1579.075,168.3946,222.6319
13,33,28759.8,871.509,1723.076,174.4057,229.2034
14,36,33405,927.9167,1862.074,176.4337,235.2079
15,38,37636.09,990.4233,2004.075,180.2491,241.0406
16,41,43349.05,1057.294,2146.076,184.5714,246.6037
17,45,49436.26,1098.584,2285.075,185.7816,251.8164
18,47,55713.53,1185.394,2427.075,191.2981,256.9279
19,50,62751.66,1255.033,2570.073,195.3303,261.8784
20,53,69369.49,1308.858,2713.073,196.9525,266.6487
21,56,77112.4,1377.007,2854.073,200.7452,271.1908
22,59,85435.44,1448.058,2997.081,204.5838,275.6472
23,59,93812.41,1590.041,4873.923,212.1903,324.6467
24,59,101817.6,1725.723,5013.922,219.8228,327.7263
25,57,105310.8,1847.557,5155.92,226.7049,330.7923
26,56,110228,1968.357,5297.921,232.8886,333.8023
27,55,116588,2119.782,5438.922,239.7086,336.7386
28,54,121237.2,2245.133,5580.921,245.1308,339.6447
29,54,128905.2,2387.134,5722.922,250.8918,342.5011
30,53,135686,2560.114,5865.922,257.6963,345.3304
31,51,136726.1,2680.904,6004.923,262.0108,348.0372
