Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,394.2206,98.55514,163.1668,85.56281,104.3151
3,7,1230.304,175.7577,305.1668,103.6692,128.5234
4,9,2233.147,248.1274,449.1669,116.0564,146.1972
5,13,3914.817,301.1397,592.1674,122.0743,160.3065
6,16,6048.07,378.0044,735.1674,132.3567,172.2919
7,19,8652.225,455.3802,878.1668,141.2306,182.808
8,21,10157.24,483.6783,1019.166,142.3235,192.1105
9,24,13390.19,557.9246,1160.166,149.9062,200.5902
10,26,15960.95,613.8826,1301.167,155.2043,208.4077
11,30,20103.29,670.1098,1445.166,158.6739,215.8285
12,32,23633,738.5314,1585.167,164.1655,222.5845
13,35,28460.1,813.1457,1726.169,170.0119,228.9975
14,38,33354.89,877.7604,1869.172,173.2713,235.154
15,41,38943.16,949.8332,2009.172,178.3257,240.8838
16,42,43474.98,1035.119,2149.173,183.707,246.3532
17,46,49830.84,1083.279,2291.173,185.4435,251.6631
18,49,56635.88,1155.834,2433.174,190,256.7582
19,51,63899.91,1252.939,2576.175,195.5597,261.6933
20,55,71375,1297.727,2715.175,196.7956,266.3184
21,57,77341.67,1356.871,2858.174,200.1218,270.9146
22,56,81309.44,1451.954,2994.173,204.7803,275.1456
23,59,89384.38,1514.99,3132.173,207.9145,279.3098
24,58,97463.43,1680.404,4695.889,216.8374,320.9676
25,59,105611.3,1790.023,4833.889,222.6648,324.082
26,58,111335.4,1919.576,4975.891,229.6465,327.2244
27,58,119513.5,2060.577,5116.882,236.4934,330.2869
28,57,127488.5,2236.64,5255.883,244.0728,333.2518
29,56,131571.3,2349.487,5391.881,248.9446,336.1024
30,55,139428.3,2535.059,5532.881,255.9074,339.0072
Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,390.9095,97.72739,162.0122,85.31184,104.3358
3,7,1230.304,175.7577,304.0124,103.76,128.6909
4,10,2549.154,254.9154,447.0124,117.5562,146.3382
5,14,4385.343,313.2388,591.0128,123.9789,160.614
6,17,6649.166,391.1274,733.0125,134.0581,172.5659
7,18,8056.15,447.5639,875.012,140.1729,183.0583
8,22,10984.89,499.313,1016.013,143.9486,192.4058
9,24,13951.12,581.2966,1158.012,151.8322,200.9815
10,27,17674.11,654.5967,1300.011,158.4229,208.8817
11,31,21932.4,707.4968,1443.011,161.3901,216.2758
12,33,25620.55,776.3804,1585.011,166.744,223.1495
13,35,29741.44,849.7556,1728.011,172.1133,229.668
14,35,32662.49,933.2141,1870.01,176.9186,235.794
15,37,37307.24,1008.304,2011.01,181.4555,241.5768
16,38,41810.15,1100.267,2154.009,186.3255,247.1718
17,42,47477.23,1130.41,2293.01,186.6387,252.3775
18,44,53285.06,1211.024,2434.01,191.7601,257.448
19,46,59234.97,1287.717,2576.01,196.1028,262.3608
20,50,66256.12,1325.122,2720.01,196.9225,267.1617
21,53,73629.12,1389.229,2862.01,200.5593,271.7327
22,55,81454.62,1480.993,3601.021,204.9168,293.7661
23,56,84681.95,1512.178,3742.019,205.2596,297.5516
24,58,91879.88,1584.136,3881.023,208.8421,301.1916
25,59,99568.85,1687.608,4022.02,214.9324,304.796
26,58,107973.9,1861.618,6890.097,223.816,364.5978
27,55,115953.9,2108.252,7031.1,233.1774,367.0681
28,53,120112.5,2266.274,7169.098,240.5489,369.454
29,52,123545.5,2375.875,7309.096,245.7207,371.8436
30,47,123122.6,2619.63,14571.48,252.4964,467.9946
31,46,129626.6,2817.969,14711.48,258.7321,469.4893
